x,y,id
-115.71,25.16,NA
-115.41,25.16,NA
-115.11,25.16,NA
-114.81,25.16,NA
-114.51,25.16,NA
-114.21,25.16,NA
-113.91,25.16,NA
-113.61,25.16,NA
-113.31,25.16,NA
-113.01,25.16,NA
-112.71,25.16,NA
-112.41,25.16,NA
-112.11,25.16,19353
-111.81,25.16,19353
-111.51,25.16,19354
-111.21,25.16,19355
-110.91,25.16,19356
-110.61,25.16,NA
-110.31,25.16,NA
-110.01,25.16,NA
-109.71,25.16,NA
-109.41,25.16,NA
-109.11,25.16,NA
-108.81,25.16,NA
-108.51,25.16,19365
-108.21,25.16,19365
-107.91,25.16,19366
-107.61,25.16,19367
-107.31,25.16,19368
-107.01,25.16,19369
-106.71,25.16,19370
-106.41,25.16,19372
-106.11,25.16,19373
-105.81,25.16,19374
-105.51,25.16,19375
-105.21,25.16,19376
-104.91,25.16,19377
-104.61,25.16,19378
-104.31,25.16,19379
-104.01,25.16,19380
-103.71,25.16,19381
-103.41,25.16,19382
-103.11,25.16,19383
-102.81,25.16,19384
-102.51,25.16,19385
-102.21,25.16,19386
-101.91,25.16,19387
-101.61,25.16,19388
-101.31,25.16,19389
-101.01,25.16,19390
-100.71,25.16,19391
-100.41,25.16,19392
-100.11,25.16,19742
-99.81,25.16,19743
-99.51,25.16,19744
-99.21,25.16,19745
-98.91,25.16,19746
-98.61,25.16,19747
-98.31,25.16,19748
-98.01,25.16,19749
-97.71,25.16,19750
-97.41,25.16,20100
-97.11,25.16,20100
-96.81,25.16,NA
-96.51,25.16,NA
-96.21,25.16,NA
-95.91,25.16,NA
-95.61,25.16,NA
-95.31,25.16,NA
-95.01,25.16,NA
-94.71,25.16,NA
-94.41,25.16,NA
-94.11,25.16,NA
-93.81,25.16,NA
-93.51,25.16,NA
-93.21,25.16,NA
-92.91,25.16,NA
-92.61,25.16,NA
-92.31,25.16,NA
-92.01,25.16,NA
-91.71,25.16,NA
-91.41,25.16,NA
-91.11,25.16,NA
-90.81,25.16,NA
-90.51,25.16,NA
-90.21,25.16,NA
-89.91,25.16,NA
-89.61,25.16,NA
-89.31,25.16,NA
-89.01,25.16,NA
-88.71,25.16,NA
-88.41,25.16,NA
-88.11,25.16,NA
-87.81,25.16,NA
-87.51,25.16,NA
-87.21,25.16,NA
-86.91,25.16,NA
-86.61,25.16,NA
-86.31,25.16,NA
-86.01,25.16,NA
-85.71,25.16,NA
-85.41,25.16,NA
-85.11,25.16,NA
-84.81,25.16,NA
-84.51,25.16,NA
-84.21,25.16,NA
-83.91,25.16,NA
-83.61,25.16,NA
-83.31,25.16,NA
-83.01,25.16,NA
-82.71,25.16,NA
-82.41,25.16,NA
-82.11,25.16,NA
-81.81,25.16,NA
-81.51,25.16,NA
-81.21,25.16,NA
-80.91,25.16,24691
-80.61,25.16,24691
-80.31,25.16,25041
-80.01,25.16,NA
-79.71,25.16,NA
-79.41,25.16,NA
-79.11,25.16,NA
-78.81,25.16,NA
-78.51,25.16,NA
-78.21,25.16,25398
-77.91,25.16,25398
-77.61,25.16,NA
-77.31,25.16,NA
-77.01,25.16,NA
-76.71,25.16,NA
-76.41,25.16,NA
-76.11,25.16,NA
-75.81,25.16,NA
-75.51,25.16,NA
-75.21,25.16,NA
-74.91,25.16,NA
-74.61,25.16,NA
-74.31,25.16,NA
-74.01,25.16,NA
-73.71,25.16,NA
-73.41,25.16,NA
-73.11,25.16,NA
-72.81,25.16,NA
-72.51,25.16,NA
-72.21,25.16,NA
-71.91,25.16,NA
-71.61,25.16,NA
-71.31,25.16,NA
-71.01,25.16,NA
-70.71,25.16,NA
-70.41,25.16,NA
-70.11,25.16,NA
-69.81,25.16,NA
-69.51,25.16,NA
-69.21,25.16,NA
-68.91,25.16,NA
-68.61,25.16,NA
-68.31,25.16,NA
-68.01,25.16,NA
